fonts-opensymbol	install	2:102.7+LibO5.1.6~rc2-0ubuntu1~xenial3
fonts-sil-abyssinica	install	1.500-1
fonts-sil-padauk	install	2.80-2
fonts-stix	install	1.1.1-4
fonts-symbola	install	2.59-1
fonts-takao-pgothic	install	003.02.01-9ubuntu3
fonts-thai-tlwg	install	1:0.6.2-2.1
fonts-tibetan-machine	install	1.901b-5
fonts-tlwg-garuda	install	1:0.6.2-2.1
fonts-tlwg-garuda-ttf	install	1:0.6.2-2.1
fonts-tlwg-kinnari	install	1:0.6.2-2.1
fonts-tlwg-kinnari-ttf	install	1:0.6.2-2.1
fonts-tlwg-laksaman	install	1:0.6.2-2.1
fonts-tlwg-laksaman-ttf	install	1:0.6.2-2.1
fonts-tlwg-loma	install	1:0.6.2-2.1
fonts-tlwg-loma-ttf	install	1:0.6.2-2.1
fonts-tlwg-mono	install	1:0.6.2-2.1
fonts-tlwg-mono-ttf	install	1:0.6.2-2.1
fonts-tlwg-norasi	install	1:0.6.2-2.1
fonts-tlwg-norasi-ttf	install	1:0.6.2-2.1
fonts-tlwg-purisa	install	1:0.6.2-2.1
fonts-tlwg-purisa-ttf	install	1:0.6.2-2.1
fonts-tlwg-sawasdee	install	1:0.6.2-2.1
fonts-tlwg-sawasdee-ttf	install	1:0.6.2-2.1
fonts-tlwg-typewriter	install	1:0.6.2-2.1
fonts-tlwg-typewriter-ttf	install	1:0.6.2-2.1
fonts-tlwg-typist	install	1:0.6.2-2.1
fonts-tlwg-typist-ttf	install	1:0.6.2-2.1
fonts-tlwg-typo	install	1:0.6.2-2.1
fonts-tlwg-typo-ttf	install	1:0.6.2-2.1
fonts-tlwg-umpush	install	1:0.6.2-2.1
fonts-tlwg-umpush-ttf	install	1:0.6.2-2.1
fonts-tlwg-waree	install	1:0.6.2-2.1
fonts-tlwg-waree-ttf	install	1:0.6.2-2.1
foomatic-db-compressed-ppds	install	20160212-0ubuntu1
freeglut3:amd64	deinstall	2.8.1-2
freepats	install	20060219-1
freetds-bin	install	0.91-6.1build1
freetds-common	install	0.91-6.1build1
freetds-dev	install	0.91-6.1build1
friendly-recovery	install	0.2.31ubuntu1
ftp	install	0.17-33
fuse	install	2.9.4-1ubuntu3.1
fwupd	install	0.8.3-0ubuntu3
fwupdate	install	0.5-2ubuntu7
fwupdate-signed	install	1.11.3+0.5-2ubuntu7
g++	install	4:5.3.1-1ubuntu1
g++-5	install	5.4.0-6ubuntu1~16.04.9
gawk	install	1:4.1.3+dfsg-0.1
gcc	install	4:5.3.1-1ubuntu1
gcc-5	install	5.4.0-6ubuntu1~16.04.9
gcc-5-base:amd64	install	5.4.0-6ubuntu1~16.04.9
gcc-5-base:i386	install	5.4.0-6ubuntu1~16.04.9
gcc-6-base:amd64	install	6.0.1-0ubuntu1
gcc-6-base:i386	install	6.0.1-0ubuntu1
gcj-5-jre-headless	install	5.4.0-6ubuntu1~16.04.9
gcj-5-jre-lib	install	5.4.0-6ubuntu1~16.04.9
gconf-service	install	3.2.6-3ubuntu6
gconf-service-backend	install	3.2.6-3ubuntu6
gconf2	install	3.2.6-3ubuntu6
gconf2-common	install	3.2.6-3ubuntu6
gcr	install	3.18.0-1ubuntu1
gdb	install	7.11.1-0ubuntu1~16.5
gdbserver	install	7.11.1-0ubuntu1~16.5
gdebi-core	install	0.9.5.7ubuntu1
gdisk	install	1.0.1-1build1
gedit	install	3.18.3-0ubuntu4
gedit-common	install	3.18.3-0ubuntu4
genisoimage	install	9:1.1.11-3ubuntu1
geoclue	install	0.12.99-4ubuntu1
geoclue-ubuntu-geoip	install	1.0.2+14.04.20131125-0ubuntu2
geoip-database	install	20160408-1
geoip-database-extra	install	20160408-1
gettext	install	0.19.7-2ubuntu3
gettext-base	install	0.19.7-2ubuntu3
gfortran	install	4:5.3.1-1ubuntu1
gfortran-5	install	5.4.0-6ubuntu1~16.04.9
ghostscript	install	9.18~dfsg~0-0ubuntu2.8
ghostscript-x	install	9.18~dfsg~0-0ubuntu2.8
gir1.2-accounts-1.0:amd64	install	1.21+16.04.20160222-0ubuntu1
gir1.2-appindicator3-0.1	install	12.10.1+16.04.20170215-0ubuntu1
gir1.2-atk-1.0	install	2.18.0-1
gir1.2-atspi-2.0	install	2.18.3-4ubuntu1
gir1.2-dbusmenu-glib-0.4:amd64	install	16.04.1+16.04.20160927-0ubuntu1
gir1.2-dee-1.0	install	1.2.7+15.04.20150304-0ubuntu2
gir1.2-freedesktop:amd64	install	1.46.0-3ubuntu1
gir1.2-gdata-0.0:amd64	install	0.17.4-1
gir1.2-gdkpixbuf-2.0:amd64	install	2.32.2-1ubuntu1.4
gir1.2-glib-2.0:amd64	install	1.46.0-3ubuntu1
gir1.2-gnomekeyring-1.0	install	3.12.0-1build1
gir1.2-goa-1.0:amd64	install	3.18.3-1ubuntu2
gir1.2-gst-plugins-base-1.0	install	1.8.3-1ubuntu0.2
gir1.2-gstreamer-1.0	install	1.8.3-1~ubuntu0.1
gir1.2-gtk-2.0	install	2.24.30-1ubuntu1.16.04.2
gir1.2-gtk-3.0:amd64	install	3.18.9-1ubuntu3.3
gir1.2-gtksource-3.0:amd64	install	3.18.2-1
gir1.2-gudev-1.0:amd64	install	1:230-2
gir1.2-ibus-1.0:amd64	install	1.5.11-1ubuntu2.1
gir1.2-javascriptcoregtk-4.0:amd64	install	2.20.2-0ubuntu0.16.04.1
gir1.2-json-1.0:amd64	install	1.1.2-0ubuntu1
gir1.2-notify-0.7	install	0.7.6-2svn1
gir1.2-packagekitglib-1.0	install	0.8.17-4ubuntu6~gcc5.4ubuntu1.2
gir1.2-pango-1.0:amd64	install	1.38.1-1
gir1.2-peas-1.0:amd64	install	1.16.0-1ubuntu2
gir1.2-rb-3.0:amd64	install	3.3-1ubuntu7
gir1.2-secret-1:amd64	install	0.18.4-1ubuntu2
gir1.2-signon-1.0	install	1.13+16.04.20151209.1-0ubuntu1
gir1.2-soup-2.4	install	2.52.2-1ubuntu0.2
gir1.2-totem-1.0:amd64	install	3.18.1-1ubuntu4
gir1.2-totem-plparser-1.0:amd64	install	3.10.6-1ubuntu1
gir1.2-udisks-2.0:amd64	install	2.1.7-1ubuntu1
gir1.2-unity-5.0:amd64	install	7.1.4+16.04.20180209.1-0ubuntu1
gir1.2-vte-2.91:amd64	install	0.42.5-1ubuntu1
gir1.2-webkit2-4.0:amd64	install	2.20.2-0ubuntu0.16.04.1
gir1.2-wnck-3.0:amd64	install	3.14.1-2
git	install	1:2.7.4-0ubuntu1.4
git-man	install	1:2.7.4-0ubuntu1.4
gkbd-capplet	install	3.6.0-1ubuntu2
glib-networking:amd64	install	2.48.2-1~ubuntu16.04.1
glib-networking-common	install	2.48.2-1~ubuntu16.04.1
glib-networking-services	install	2.48.2-1~ubuntu16.04.1
gnome-accessibility-themes	install	3.18.0-2ubuntu2
gnome-bluetooth	install	3.18.2-1ubuntu2
gnome-calculator	install	1:3.18.3-0ubuntu1.16.04.1
gnome-calendar	install	3.20.4-0ubuntu0.1
gnome-desktop3-data	install	3.18.2-1ubuntu1
gnome-disk-utility	install	3.18.3.1-1ubuntu1.1
gnome-font-viewer	install	3.16.2-1ubuntu1
gnome-icon-theme	install	3.12.0-1ubuntu3
gnome-keyring	install	3.18.3-0ubuntu2
gnome-mahjongg	install	1:3.18.0-1
gnome-menus	install	3.13.3-6ubuntu3.1
gnome-mines	install	1:3.18.2-2
gnome-orca	install	3.18.2-1ubuntu3
gnome-power-manager	install	3.18.0-1ubuntu1
gnome-screensaver	install	3.6.1-7ubuntu4
gnome-screenshot	install	3.18.0-1ubuntu2
