USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.1 119732  4620 ?        Ss   13:31   0:07 /lib/systemd/systemd --system --deserialize 21
root      1758  0.0  0.0   4504   900 ?        S    13:32   0:00 /bin/sh /opt/lampp/bin/mysqld_safe --datadir=/opt/lampp/var/mysql --pid-file=/opt/lampp/var/mysql/hunglxc-Lenovo-B490.pid
daemon    1915  0.0  0.0 336504   912 ?        S    13:32   0:00 /opt/lampp/bin/httpd -k start -E /opt/lampp/logs/error_log -DSSL -DPHP
daemon    1916  0.0  0.0  51684   524 ?        Ss   13:32   0:00 proftpd: (accepting connections)
root      1926  0.0  0.0  15936   716 tty1     Ss+  13:32   0:00 /sbin/agetty --noclear tty1 linux
mysql     1934  0.0  0.5 1228384 18596 ?       Sl   13:32   0:02 /opt/lampp/sbin/mysqld --basedir=/opt/lampp --datadir=/opt/lampp/var/mysql --plugin-dir=/opt/lampp/lib/mysql/plugin/ --user=mysql --log-error=/opt/lampp/var/mysql/hunglxc-Lenovo-B490.err --pid-file=/opt/lampp/var/mysql/hunglxc-Lenovo-B490.pid --socket=/opt/lampp/var/mysql/mysql.sock --port=3306
daemon    1985  0.0  0.0 341044  1284 ?        S    13:32   0:00 /opt/lampp/bin/httpd -k start -E /opt/lampp/logs/error_log -DSSL -DPHP
daemon    1986  0.0  0.0 341044  1572 ?        S    13:32   0:00 /opt/lampp/bin/httpd -k start -E /opt/lampp/logs/error_log -DSSL -DPHP
daemon    1987  0.0  0.0 341044  2668 ?        S    13:32   0:00 /opt/lampp/bin/httpd -k start -E /opt/lampp/logs/error_log -DSSL -DPHP
daemon    1988  0.0  0.0 341044  1036 ?        S    13:32   0:00 /opt/lampp/bin/httpd -k start -E /opt/lampp/logs/error_log -DSSL -DPHP
daemon    1989  0.0  0.0 341044    44 ?        S    13:32   0:00 /opt/lampp/bin/httpd -k start -E /opt/lampp/logs/error_log -DSSL -DPHP
rtkit     2648  0.0  0.0 183544  1460 ?        SNsl 13:32   0:00 /usr/lib/rtkit/rtkit-daemon
root      2650  0.0  0.1 347404  4820 ?        Ssl  13:32   0:00 /usr/lib/upower/upowerd
colord    2726  0.0  0.1 301188  4620 ?        Ssl  13:33   0:00 /usr/lib/colord/colord
root      2912  0.0  0.0 108968  2636 ?        Ss   13:33   0:00 sendmail: MTA: accepting connections
root      2923  0.0  0.0 230304  3152 ?        Sl   13:34   0:00 lightdm --session-child 12 21
root      3040  0.0  0.0  93232  1224 ?        Ss   13:36   0:00 /usr/sbin/cupsd -l
root      3042  0.0  0.1 274812  4080 ?        Ssl  13:36   0:00 /usr/sbin/cups-browsed
root      3043  0.0  0.0      0     0 ?        S    16:00   0:00 [kworker/1:2]
lp        3046  0.0  0.0  81244  1244 ?        S    13:36   0:00 /usr/lib/cups/notifier/dbus dbus://
lp        3047  0.0  0.0  81244  1840 ?        S    13:36   0:00 /usr/lib/cups/notifier/dbus dbus://
root      3298  0.0  0.0      0     0 ?        S<   14:37   0:00 [iprt-VBoxWQueue]
root      3302  0.0  0.0      0     0 ?        S    14:37   0:00 [iprt-VBoxTscThr]
hunglxc   3482  7.1  2.0 1146948 75904 ?       Sl   16:00   0:01 evince /home/hunglxc/Documents/ICT/Computer network/Network Course/Lecture 3 - Internet Layer.pdf
hunglxc   3498  0.0  0.1 178496  4024 ?        Sl   16:00   0:00 /usr/lib/evince/evinced
hunglxc   4327  0.0  0.0   4504   668 pts/8    S+   16:01   0:00 sh -c ps axu
hunglxc   4328  0.0  0.0  37372  3104 pts/8    R+   16:01   0:00 ps axu
hunglxc   9276  0.0  0.0  45276  2560 ?        Ss   13:47   0:00 /lib/systemd/systemd --user
hunglxc   9277  0.0  0.0 145436   304 ?        S    13:47   0:00 (sd-pam)
hunglxc   9285  0.0  0.0 205260  3416 ?        Sl   13:47   0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
hunglxc   9287  0.0  0.0  46460  2296 ?        Ss   13:47   0:00 /sbin/upstart --user
hunglxc   9373  0.0  0.0  32864  1156 ?        S    13:47   0:00 upstart-udev-bridge --daemon --user
hunglxc   9374  0.0  0.0  44012  3564 ?        Ss   13:47   0:02 dbus-daemon --fork --session --address=unix:abstract=/tmp/dbus-CO6cgsVjG1
hunglxc   9386  0.0  0.0  86344  3552 ?        Ss   13:47   0:00 /usr/lib/x86_64-linux-gnu/hud/window-stack-bridge
hunglxc   9410  0.0  0.0  32796   748 ?        S    13:47   0:00 upstart-dbus-bridge --daemon --session --user --bus-name session
hunglxc   9412  0.0  0.0  32796   116 ?        S    13:47   0:01 upstart-dbus-bridge --daemon --system --user --bus-name system
hunglxc   9416  0.0  0.0  41292   624 ?        S    13:47   0:00 upstart-file-bridge --daemon --user
hunglxc   9425  0.1  0.2 421724  8656 ?        Ssl  13:47   0:15 /usr/bin/ibus-daemon --daemonize --xim --address unix:tmpdir=/tmp/ibus
hunglxc   9443  0.0  0.1 348300  3636 ?        Sl   13:47   0:00 /usr/lib/gvfs/gvfsd
hunglxc   9448  0.0  0.0 406864  2824 ?        Sl   13:47   0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
hunglxc   9452  0.0  0.1 264280  3784 ?        Sl   13:47   0:00 /usr/lib/ibus/ibus-dconf
hunglxc   9458  0.0  0.3 478444 14304 ?        Sl   13:47   0:06 /usr/lib/ibus/ibus-ui-gtk3
hunglxc   9462  0.0  0.1 427984  7024 ?        Sl   13:47   0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
hunglxc   9467  0.0  0.0 338024  3140 ?        Sl   13:47   0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
hunglxc   9476  0.0  0.0  43028  2504 ?        S    13:47   0:00 /usr/bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
